0 0 0 1.000000 
1 1 0 1.000000 
2 2 0 1.000000 
3 3 0 1.000000 
4 4 0 1.000000 
5 0 1 1.000000 
6 1 1 100.000000 
7 2 1 100.000000 
8 3 1 -400.000000 
9 4 1 100.000000 
10 0 2 100.000000 
11 1 2 100.000000 
12 2 2 100.000000 
13 3 2 -400.000000 
14 4 2 100.000000 
15 0 3 100.000000 
16 1 3 100.000000 
17 2 3 100.000000 
18 3 3 -400.000000 
19 4 3 100.000000 
20 0 4 100.000000 
21 1 4 1.000000 
22 2 4 1.000000 
23 3 4 100.000000 
24 4 4 100.000000 
25 0 5 -400.000000 
26 1 5 100.000000 
27 2 5 100.000000 
28 3 5 100.000000 
29 4 5 100.000000 
30 0 6 -400.000000 
31 1 6 100.000000 
32 2 6 100.000000 
33 3 6 100.000000 
34 4 6 100.000000 
35 0 7 -400.000000 
36 1 7 100.000000 
37 2 7 100.000000 
38 3 7 1.000000 
39 4 7 1.000000 
40 0 8 100.000000 
41 1 8 100.000000 
42 2 8 -400.000000 
43 3 8 100.000000 
44 4 8 100.000000 
45 0 9 100.000000 
46 1 9 100.000000 
47 2 9 -400.000000 
48 3 9 100.000000 
49 4 9 100.000000 
50 0 10 100.000000 
51 1 10 100.000000 
52 2 10 -400.000000 
53 3 10 100.000000 
54 4 10 100.000000 
55 0 11 1.000000 
56 1 11 1.000000 
57 2 11 1.000000 
58 3 11 1.000000 
59 4 11 1.000000 
60 0 12 1.000000 
